event_date,checked_at,intervalo_s
2026-08-13,2026-08-13 13:16:45.442000-03:00,2.505
2026-08-13,2026-08-13 13:16:49.723000-03:00,4.281
2026-08-13,2026-08-13 13:16:52.855000-03:00,3.132
2026-08-13,2026-08-13 13:16:55.743000-03:00,2.888
2026-08-13,2026-08-13 13:16:58.189000-03:00,2.446
2026-08-13,2026-08-13 13:17:00.100000-03:00,1.911
2026-08-13,2026-08-13 13:17:02.334000-03:00,2.234
2026-08-13,2026-08-13 13:17:06.788000-03:00,4.454
2026-08-13,2026-08-13 13:17:11.552000-03:00,4.764
2026-08-13,2026-08-13 13:17:14.370000-03:00,2.818
2026-08-13,2026-08-13 13:17:17.803000-03:00,3.433
2026-08-13,2026-08-13 13:17:20.794000-03:00,2.991
2026-08-13,2026-08-13 13:17:23.214000-03:00,2.42
2026-08-13,2026-08-13 13:17:26.036000-03:00,2.822
2026-08-13,2026-08-13 13:17:28.746000-03:00,2.71
2026-08-13,2026-08-13 13:17:31.016000-03:00,2.27
2026-08-13,2026-08-13 13:17:35.384000-03:00,4.368
2026-08-13,2026-08-13 13:17:40.017000-03:00,4.633
2026-08-13,2026-08-13 13:17:45.301000-03:00,5.284
2026-08-13,2026-08-13 13:17:48.148000-03:00,2.847
2026-08-13,2026-08-13 13:17:50.409000-03:00,2.261
2026-08-13,2026-08-13 13:17:53.310000-03:00,2.901
2026-08-13,2026-08-13 13:17:55.926000-03:00,2.616
2026-08-13,2026-08-13 13:17:58.296000-03:00,2.37
2026-08-13,2026-08-13 13:18:01.127000-03:00,2.831
2026-08-13,2026-08-13 13:18:03.707000-03:00,2.58
2026-08-13,2026-08-13 13:18:06.304000-03:00,2.597
2026-08-13,2026-08-13 13:18:09.399000-03:00,3.095
2026-08-13,2026-08-13 13:18:11.709000-03:00,2.31
2026-08-13,2026-08-13 13:18:14.375000-03:00,2.666
2026-08-13,2026-08-13 13:18:16.865000-03:00,2.49
2026-08-13,2026-08-13 13:18:20.468000-03:00,3.603
2026-08-13,2026-08-13 13:18:22.747000-03:00,2.279
2026-08-13,2026-08-13 13:18:25.321000-03:00,2.574
2026-08-13,2026-08-13 13:18:28.530000-03:00,3.209
2026-08-13,2026-08-13 13:18:31.742000-03:00,3.212
2026-08-13,2026-08-13 13:18:34.407000-03:00,2.665
2026-08-13,2026-08-13 13:18:38.469000-03:00,4.062
2026-08-13,2026-08-13 13:18:43.048000-03:00,4.579
2026-08-13,2026-08-13 13:18:46.555000-03:00,3.507
2026-08-13,2026-08-13 13:18:50.545000-03:00,3.99
2026-08-13,2026-08-13 13:18:53.801000-03:00,3.256
2026-08-13,2026-08-13 13:18:56.460000-03:00,2.659
2026-08-13,2026-08-13 13:19:00.976000-03:00,4.516
2026-08-13,2026-08-13 13:19:04.705000-03:00,3.729
2026-08-13,2026-08-13 13:19:07.669000-03:00,2.964
2026-08-13,2026-08-13 13:19:10.466000-03:00,2.797
2026-08-13,2026-08-13 13:19:13.377000-03:00,2.911
2026-08-13,2026-08-13 13:19:18.098000-03:00,4.721
2026-08-13,2026-08-13 13:19:23.142000-03:00,5.044
2026-08-13,2026-08-13 13:19:47.091000-03:00,23.949
2026-08-13,2026-08-13 13:19:52.937000-03:00,5.846
2026-08-13,2026-08-13 13:19:57.222000-03:00,4.285
2026-08-18,2026-08-18 13:00:13.425000-03:00,24.023
2026-08-18,2026-08-18 13:00:17.491000-03:00,4.066
2026-08-18,2026-08-18 13:00:21.146000-03:00,3.655
2026-08-18,2026-08-18 13:00:24.515000-03:00,3.369
2026-08-18,2026-08-18 13:00:27.310000-03:00,2.795
2026-08-18,2026-08-18 13:00:30.076000-03:00,2.766
2026-08-18,2026-08-18 13:00:32.920000-03:00,2.844
2026-08-18,2026-08-18 13:00:39.203000-03:00,6.283
2026-08-18,2026-08-18 13:00:41.965000-03:00,2.762
2026-08-18,2026-08-18 13:00:43.824000-03:00,1.859
2026-08-18,2026-08-18 13:00:46.779000-03:00,2.955
2026-08-18,2026-08-18 13:00:49.525000-03:00,2.746
2026-08-18,2026-08-18 13:00:52.190000-03:00,2.665
2026-08-18,2026-08-18 13:00:55.372000-03:00,3.182
2026-08-18,2026-08-18 13:00:59.258000-03:00,3.886
2026-08-18,2026-08-18 13:01:08.170000-03:00,8.912
2026-08-18,2026-08-18 13:01:11.848000-03:00,3.678
2026-08-18,2026-08-18 13:01:13.756000-03:00,1.908
2026-08-18,2026-08-18 13:01:18.081000-03:00,4.325
2026-08-18,2026-08-18 13:01:45.395000-03:00,27.314
2026-08-18,2026-08-18 13:01:50.740000-03:00,5.345
2026-08-18,2026-08-18 13:01:53.869000-03:00,3.129
2026-08-18,2026-08-18 13:01:58.640000-03:00,4.771
2026-08-18,2026-08-18 13:02:01.468000-03:00,2.828
2026-08-18,2026-08-18 13:02:03.632000-03:00,2.164
2026-08-18,2026-08-18 13:02:06.509000-03:00,2.877
2026-08-18,2026-08-18 13:02:11.350000-03:00,4.841
